Generation,GD_exp,SP_exp,GD_base,SP_base
122,0.048487197,0.048544556,0.1785689,0
123,0.043858924,0.048544556,0.1785689,0
124,0.043858924,0.048544556,0.1785689,0
125,0.043858924,0.048544556,0.1785689,0
126,0.043858924,0.048544556,0.1785689,0
127,0.043858924,0.048544556,0.1785689,0
128,0.043858924,0.048544556,0.1785689,0
129,0.043858924,0.048544556,0.1785689,0
130,0.043858924,0.048544556,0.1785689,0
131,0.043858924,0.048544556,0.1785689,0
132,0.043858924,0.048544556,0.1785689,0
133,0.043858924,0.052797779,0.1785689,0
134,0.043858924,0.052797779,0.1785689,0
135,0.043858924,0.052381608,0.1785689,0
136,0.043858924,0.052381608,0.1785689,0
137,0.043858924,0.052381608,0.1785689,0
138,0.043858924,0.052381608,0.1785689,0
139,0.043858924,0.052381608,0.1785689,0
140,0.043858924,0.052381608,0.1785689,0
141,0.043858924,0.052381608,0.1785689,0
142,0.043858924,0.052381608,0.1785689,NaN
143,0.043858924,0.052381608,0.1785689,NaN
144,0.043858924,0.052381608,0.1785689,NaN
145,0.043858924,0.052381608,0.1785689,NaN
146,0.043858924,0.052381608,0.1785689,NaN
147,0.043858924,0.052381608,0.1785689,NaN
148,0.043858924,0.052381608,0.1785689,NaN
149,0.043858924,0.052381608,0.1785689,NaN
150,0.043858924,0.052381608,0.1785689,NaN
151,0.043858924,0.052381608,0.1785689,NaN
152,0.043858924,0.052381608,0.1785689,NaN
153,0.043858924,0.052381608,0.1785689,NaN
154,0.043858924,0.052381608,0.1785689,NaN
155,0.043858924,0.052381608,0.1785689,NaN
156,0.043858924,0.052381608,0.1785689,NaN
157,0.043858924,0.052381608,0.1785689,NaN
158,0.043858924,0.052381608,0.1785689,NaN
159,0.039885611,0.052381608,0.1785689,NaN
160,0.039885611,0.052381608,0.1785689,NaN
161,0.039885611,0.052381608,0.1785689,NaN
162,0.039885611,0.052381608,0.1785689,NaN
163,0.039885611,0.052381608,0.1785689,0
164,0.039885611,0.052381608,0.1785689,0
165,0.039885611,0.052381608,0.1785689,0
166,0.039885611,0.052381608,0.1785689,0
167,0.039885611,0.052381608,0.1785689,0
168,0.039885611,0.052381608,0.1785689,0
169,0.039885611,0.051740147,0.1785689,0
170,0.039885611,0.051740147,0.1785689,0
171,0.039885611,0.051740147,0.1785689,0
172,0.039885611,0.051740147,0.1785689,0
173,0.039885611,0.051740147,0.1785689,0
174,0.039885611,0.051740147,0.1785689,0
175,0.039885611,0.051740147,0.1785689,0
176,0.039885611,0.051740147,0.1785689,0
177,0.039885611,0.051991012,0.1785689,0
178,0.039885611,0.051991012,0.1785689,0
179,0.039885611,0.051991012,0.1785689,0
180,0.039885611,0.051991012,0.1785689,0
181,0.039885611,0.051991012,0.1785689,0
182,0.039885611,0.051991012,0.1785689,0
183,0.039885611,0.051991012,0.1785689,0
184,0.039885611,0.051991012,0.1785689,0
185,0.039885611,0.051991012,0.1785689,0
186,0.039885611,0.051991012,0.1785689,0
187,0.039885611,0.051991012,0.1785689,0
188,0.039885611,0.051991012,0.1785689,0
189,0.039885611,0.051991012,0.1785689,0
190,0.039885611,0.051991012,0.1785689,0
191,0.039885611,0.051991012,0.1785689,0
192,0.039885611,0.051991012,0.1785689,0
193,0.039885611,0.051991012,0.1785689,0
194,0.039885611,0.051991012,0.1785689,0
195,0.039885611,0.051991012,0.1785689,0
196,0.039885611,0.051991012,0.1785689,0
197,0.039885611,0.051991012,0.1785689,0
198,0.039885611,0.051991012,0.1785689,0
199,0.039885611,0.051991012,0.1785689,0
200,0.039662201,0.051991012,0.1785689,0
201,0.039662201,0.051991012,0.1785689,0
202,0.039662201,0.051991012,0.1785689,0
203,0.039662201,0.051991012,0.1785689,0
204,0.039662201,0.051991012,0.1785689,0
205,0.039662201,0.051991012,0.1785689,0
206,0.039662201,0.051991012,0.1785689,0
207,0.039662201,0.051991012,0.1785689,0
208,0.039662201,0.051991012,0.1785689,0
209,0.039662201,0.051991012,0.1785689,0
210,0.039662201,0.051991012,0.1785689,0
211,0.039662201,0.051991012,0.1785689,0
212,0.039662201,0.051991012,0.1785689,0
213,0.039662201,0.051991012,0.1785689,0
214,0.039662201,0.051991012,0.1785689,0
215,0.039662201,0.051991012,0.1785689,0
216,0.039662201,0.051991012,0.1785689,0
217,0.039662201,0.051991012,0.1785689,0
218,0.039662201,0.051991012,0.1785689,0
219,0.039662201,0.051991012,0.1785689,0
220,0.039662201,0.051991012,0.1785689,0
221,0.039662201,0.051991012,0.1785689,0
222,0.039662201,0.051991012,0.1785689,0
223,0.039662201,0.051991012,0.1785689,0
224,0.018795849,0.051991012,0.1785689,0
225,0.018795849,0.051991012,0.1785689,0
226,0.018795849,0.051991012,0.1785689,0
227,0.018795849,0.051991012,0.1785689,0
228,0.018795849,0.078581605,0.1785689,0
